abgetrennt	0	1	0
Auge	0	1	0
Befehlen	0	1	0
beredt	1	0	0
Bereitwilligkeit	0	1	0
Beschützen	0	1	0
bewundern	0	1	0
Blick	0	1	0
blicken	0	1	0
Bußprediger	1	0	0
Chaos	0	0	2
Charakter	1	0	0
Christentum	1	0	0
dürfen	1	0	0
einverleiben	0	1	0
einzeln	0	1	0
Entstehung	0	1	0
Erfolg	1	0	0
erwerben	0	1	0
forterben	0	1	0
fühlen	1	1	0
Gang	0	1	0
Gebärde	1	0	0
gebären	0	0	1
geben	1	0	0
Gedanke	0	1	0
Gerechtigkeit	0	1	0
Geschlecht	0	1	0
Gott	0	1	0
groß	1	2	0
halb	1	0	0
herrschend	0	1	0
hinauf	0	1	0
Hoheit	0	1	0
immer	1	0	0
Klang	1	0	0
kühn	0	1	0
Kunst	0	1	0
langsam	0	1	0
Lauf	0	1	0
leicht	0	1	0
leutselig	0	1	0
lieben	0	1	0
Lust	0	1	0
Menge	0	1	0
Mensch	1	0	0
missverstehen	0	1	0
müssen	0	1	0
Niederblick	0	1	0
nötig	1	0	0
Pathos	1	0	0
pflegen	0	1	0
Pflicht	2	1	0
Philosoph	0	1	0
recht	1	0	0
Recht	1	0	0
reden	1	0	0
Revolutions-Politiker	1	0	0
sagen	0	0	2
selten	0	3	0
Socialist|liste	1	0	0
stark	1	0	0
Stellung	1	0	0
Stern	0	0	1
tanzend	0	0	1
Teufel	0	1	0
Tugend	0	2	0
überhaupt	1	0	0
Übung	0	1	0
Unbedingte	1	0	0
Verantwortung	0	1	0
verleumden	0	1	0
verteidigen	0	1	0
viele	0	1	0
vorarbeiten	0	1	0
Weite	0	1	0
Wille	0	1	0
wirken	1	0	0
wissen	1	0	0
wohl	1	0	0
Wort	1	0	0
zart	0	1	0
